,Latitude,Longitude,Name,X,Y
176,1.30858822209,103.889148944,OVERSEA-CHINESE BANKING CORPORATION LIMITED DAKOTA MRT STATION,34213.3987,32322.624
177,1.29868872326,103.846122839,OVERSEA-CHINESE BANKING CORPORATION LIMITED DHOBBY GHAUTEXCHANGE DHOBBY GHAUT MRT STATION,29425.0,31227.9229
178,1.31139153705,103.778656382,OVERSEA-CHINESE BANKING CORPORATION LIMITED DOVER MRT STATION,21916.6142,32632.5975
179,1.3197271575,103.903100261,OVERSEA-CHINESE BANKING CORPORATION LIMITED EUNOS MRT STATION,35766.0164,33554.35
180,1.3489920354,103.749555824,OVERSEA-CHINESE BANKING CORPORATION LIMITED FAIRPRICE BUKIT BATOK MRT STATION,18678.1364,36790.3619
181,1.43262603482,103.774051197,OVERSEA-CHINESE BANKING CORPORATION LIMITED FAIRPRICE MARSILING MRT STATION,21404.4326,46038.1104
182,1.37079214921,103.892321657,OVERSEA-CHINESE BANKING CORPORATION LIMITED HOUGANG MRT STATION,34566.3266,39200.8277
183,1.3276860612,103.678345539,OVERSEA-CHINESE BANKING CORPORATION LIMITED JOO KOON MRT STATION,10753.0595,34434.8364
184,1.4175890605,103.833061043,OVERSEA-CHINESE BANKING CORPORATION LIMITED KHATIB MRT STATION,27971.34,44375.3122
185,1.36039772657,103.885544567,OVERSEA-CHINESE BANKING CORPORATION LIMITED KOVAN MRT STATION,33812.1435,38051.4474
186,1.42506906281,103.76209945,OVERSEA-CHINESE BANKING CORPORATION LIMITED KRANJI MRT STATION,20074.3565,45202.5357
187,1.34410477497,103.720301862,OVERSEA-CHINESE BANKING CORPORATION LIMITED LAKESIDE MRT STATION,15422.4669,36250.0842
188,1.30747789846,103.862898568,OVERSEA-CHINESE BANKING CORPORATION LIMITED LAVENDER MRT STATION,31291.9778,32199.8004
189,1.30728882449,103.849922419,OVERSEA-CHINESE BANKING CORPORATION LIMITED LITTLE INDIA MRT STATION,29847.8531,32178.8803
190,1.32571120545,103.890357906,OVERSEA-CHINESE BANKING CORPORATION LIMITED MACPHERSON MRT STATION,34347.9016,34215.9995
191,1.31263385423,103.838086793,OVERSEA-CHINESE BANKING CORPORATION LIMITED NEWTON MRT STATION,28530.6568,32769.9006
192,1.32045835535,103.843842646,OVERSEA-CHINESE BANKING CORPORATION LIMITED NOVENA MRT STATION,29171.2247,33635.0957
193,1.30361902234,103.832219322,OVERSEA-CHINESE BANKING CORPORATION LIMITED ORCHARD MRT STATION,27877.6627,31773.0864
194,1.37300805043,103.949265084,OVERSEA-CHINESE BANKING CORPORATION LIMITED PASIR RIS MRT STATION,40903.4338,39446.0827
195,1.31813649088,103.893143871,OVERSEA-CHINESE BANKING CORPORATION LIMITED PAYA LEBAR MRT STATION,34657.9717,33378.4333
196,1.33755106279,103.697315277,OVERSEA-CHINESE BANKING CORPORATION LIMITED PIONEER MRT STATION,12864.265,35525.5366
197,1.33187971406,103.869057878,OVERSEA-CHINESE BANKING CORPORATION LIMITED POTONG PASIR MRT STATION,31977.4131,34898.0373
198,1.4043978261,103.9020443,OVERSEA-CHINESE BANKING CORPORATION LIMITED PUNGGOL MRT STATION,35648.2314,42916.8045
199,1.29443406476,103.806158476,OVERSEA-CHINESE BANKING CORPORATION LIMITED QUEENSTOWN MRT STATION,24977.3174,30757.4773
